iter	Passed	Remaining
0	24	19573
1	50	20206
2	79	21145
3	108	21575
4	136	21687
5	165	21892
6	192	21819
7	221	21894
8	257	22642
9	283	22433
10	309	22222
11	337	22173
12	364	22094
13	391	21969
14	419	21942
15	444	21766
16	472	21765
17	500	21732
18	527	21695
19	556	21711
20	593	22017
21	621	21993
22	650	21973
23	678	21948
24	706	21912
25	735	21883
26	762	21837
27	792	21841
28	820	21801
29	849	21791
30	877	21757
31	905	21723
32	934	21730
33	964	21725
34	995	21748
35	1025	21754
36	1053	21732
37	1082	21716
38	1111	21686
39	1139	21656
40	1167	21614
41	1196	21593
42	1209	21284
43	1237	21260
44	1265	21235
45	1293	21207
46	1320	21149
47	1348	21128
48	1375	21079
49	1403	21055
50	1430	21014
51	1458	20984
52	1486	20948
53	1513	20911
54	1541	20880
55	1568	20840
56	1596	20809
57	1624	20779
58	1652	20757
59	1681	20735
60	1710	20722
61	1740	20722
62	1770	20706
63	1799	20694
64	1827	20667
65	1856	20641
66	1882	20593
67	1910	20568
68	1939	20550
69	1984	20692
70	2013	20672
71	2040	20629
72	2067	20590
73	2095	20556
74	2124	20537
75	2153	20519
76	2184	20509
77	2228	20625
78	2257	20607
79	2298	20683
80	2327	20661
81	2356	20629
82	2386	20619
83	2414	20584
84	2442	20548
85	2471	20516
86	2498	20479
87	2527	20446
88	2555	20414
89	2583	20383
90	2612	20350
91	2640	20323
92	2669	20295
93	2698	20268
94	2726	20233
95	2754	20197
96	2782	20168
97	2822	20217
98	2850	20185
99	2879	20157
100	2908	20126
101	2938	20107
102	2967	20079
103	2995	20044
104	3022	20006
105	3054	19995
106	3080	19952
107	3107	19910
108	3133	19867
109	3160	19826
110	3189	19798
111	3217	19767
112	3246	19735
113	3273	19699
114	3301	19663
115	3329	19630
116	3357	19597
117	3388	19586
118	3417	19558
119	3446	19529
120	3475	19505
121	3503	19471
122	3531	19437
123	3558	19399
124	3585	19361
125	3612	19322
126	3638	19283
127	3666	19249
128	3693	19211
129	3719	19170
130	3745	19130
131	3773	19095
132	3800	19058
133	3826	19020
134	3853	18979
135	3880	18943
136	3915	18950
137	3942	18914
138	3968	18873
139	3997	18846
140	4026	18819
141	4052	18777
142	4078	18738
143	4112	18734
144	4157	18779
145	4186	18754
146	4214	18722
147	4243	18694
148	4286	18728
149	4314	18697
150	4343	18668
151	4372	18640
152	4402	18616
153	4429	18582
154	4458	18553
155	4487	18525
156	4515	18495
157	4544	18465
158	4573	18437
159	4603	18413
160	4635	18398
161	4670	18392
162	4701	18372
163	4732	18352
164	4763	18332
165	4793	18308
166	4824	18288
167	4855	18266
168	4885	18239
169	4914	18211
170	4947	18199
171	4996	18241
172	5025	18213
173	5053	18181
174	5083	18155
175	5111	18121
176	5139	18089
177	5166	18055
178	5194	18021
179	5222	17987
180	5249	17954
181	5278	17923
182	5307	17894
183	5337	17869
184	5367	17841
185	5396	17815
186	5428	17793
187	5458	17770
188	5488	17743
189	5519	17720
190	5550	17697
191	5578	17665
192	5608	17637
193	5637	17609
194	5665	17576
195	5693	17545
196	5722	17516
197	5752	17489
198	5783	17465
199	5813	17439
200	5842	17411
201	5872	17385
202	5905	17366
203	5935	17341
204	5949	17267
205	5979	17241
206	6012	17223
207	6043	17201
208	6073	17175
209	6105	17153
210	6137	17133
211	6168	17109
212	6197	17079
213	6228	17056
214	6259	17031
215	6294	17019
216	6338	17029
217	6368	17002
218	6399	16977
219	6430	16953
220	6463	16933
221	6492	16904
222	6522	16877
223	6552	16848
224	6580	16817
225	6610	16790
226	6641	16764
227	6671	16736
228	6700	16707
229	6729	16678
230	6759	16648
231	6787	16617
232	6816	16588
233	6844	16555
234	6873	16526
235	6903	16499
236	6934	16473
237	6964	16444
238	6993	16415
239	7022	16385
240	7051	16356
241	7079	16324
242	7107	16290
243	7135	16259
244	7163	16228
245	7191	16195
246	7219	16164
247	7248	16133
248	7274	16097
249	7302	16066
250	7330	16034
251	7359	16004
252	7386	15970
253	7413	15936
254	7425	15870
255	7451	15834
256	7480	15804
257	7507	15771
258	7536	15743
259	7564	15710
260	7593	15682
261	7620	15649
262	7647	15614
263	7674	15580
264	7703	15552
265	7732	15523
266	7759	15490
267	7805	15493
268	7834	15465
269	7864	15437
270	7894	15410
271	7923	15381
272	7965	15376
273	8027	15410
274	8057	15382
275	8085	15351
276	8113	15318
277	8143	15290
278	8172	15261
279	8203	15234
280	8233	15207
281	8262	15177
282	8291	15148
283	8321	15119
284	8353	15094
285	8383	15066
286	8411	15035
287	8441	15007
288	8503	15035
289	8533	15006
290	8563	14978
291	8594	14951
292	8637	14946
293	8666	14915
294	8695	14885
295	8724	14855
296	8751	14821
297	8779	14789
298	8806	14756
299	8834	14724
300	8863	14694
301	8892	14663
302	8921	14633
303	8949	14601
304	8998	14603
305	9028	14575
306	9062	14552
307	9108	14549
308	9141	14526
309	9181	14512
310	9211	14483
311	9241	14455
312	9271	14425
313	9308	14407
314	9337	14376
315	9371	14354
316	9399	14320
317	9424	14285
318	9456	14259
319	9484	14226
320	9514	14197
321	9542	14165
322	9569	14132
323	9597	14099
324	9630	14075
325	9658	14043
326	9689	14015
327	9720	13987
328	9749	13957
329	9780	13929
330	9809	13899
331	9839	13870
332	9869	13841
333	9899	13812
334	9930	13784
335	9961	13756
336	9991	13726
337	10020	13697
338	10050	13667
339	10080	13637
340	10111	13609
341	10141	13580
342	10170	13550
343	10199	13520
344	10228	13489
345	10257	13459
346	10286	13429
347	10317	13400
348	10346	13370
349	10375	13339
350	10404	13309
351	10435	13281
352	10465	13252
353	10495	13222
354	10525	13194
355	10556	13165
356	10591	13142
357	10636	13131
358	10668	13105
359	10697	13074
360	10725	13043
361	10752	13010
362	10783	12981
363	10812	12951
364	10841	12920
365	10871	12890
366	10899	12859
367	10928	12829
368	10957	12798
369	10985	12766
370	11015	12737
371	11062	12727
372	11090	12696
373	11133	12680
374	11162	12651
375	11192	12621
376	11225	12594
377	11254	12564
378	11290	12542
379	11332	12525
380	11361	12494
381	11390	12463
382	11417	12431
383	11454	12408
384	11487	12382
385	11524	12360
386	11558	12335
387	11590	12307
388	11619	12276
389	11663	12261
390	11693	12232
391	11723	12202
392	11754	12173
393	11784	12143
394	11813	12112
395	11843	12082
396	11872	12051
397	11901	12021
398	11931	11991
399	11960	11960
400	11990	11930
401	12020	11901
402	12050	11870
403	12078	11839
404	12107	11808
405	12136	11777
406	12165	11747
407	12195	11717
408	12224	11686
409	12254	11656
410	12284	11627
411	12315	11598
412	12345	11568
413	12375	11538
414	12406	11509
415	12437	11480
416	12466	11450
417	12495	11419
418	12525	11389
419	12556	11360
420	12584	11329
421	12612	11297
422	12639	11265
423	12668	11234
424	12697	11204
425	12726	11173
426	12756	11143
427	12794	11120
428	12846	11109
429	12875	11078
430	12903	11047
431	12932	11016
432	12963	10987
433	12992	10956
434	13022	10926
435	13051	10896
436	13081	10866
437	13110	10835
438	13139	10804
439	13168	10774
440	13198	10744
441	13226	10712
442	13253	10680
443	13283	10650
444	13311	10619
445	13339	10587
446	13368	10557
447	13396	10526
448	13433	10501
449	13462	10470
450	13489	10438
451	13516	10406
452	13545	10375
453	13575	10346
454	13605	10316
455	13637	10287
456	13664	10256
457	13693	10225
458	13721	10193
459	13750	10163
460	13778	10131
461	13805	10099
462	13831	10067
463	13858	10035
464	13885	10003
465	13912	9971
466	13939	9939
467	13966	9907
468	13993	9875
469	14021	9844
470	14047	9812
471	14077	9782
472	14104	9750
473	14132	9719
474	14159	9688
475	14186	9656
476	14215	9625
477	14250	9599
478	14290	9576
479	14319	9546
480	14346	9514
481	14375	9483
482	14404	9453
483	14432	9422
484	14459	9391
485	14488	9360
486	14517	9330
487	14548	9301
488	14576	9270
489	14608	9242
490	14637	9211
491	14665	9180
492	14693	9150
493	14722	9119
494	14766	9098
495	14796	9069
496	14825	9038
497	14854	9008
498	14884	8978
499	14913	8948
500	14941	8917
501	14971	8887
502	15017	8867
503	15048	8837
504	15077	8807
505	15106	8777
506	15134	8746
507	15162	8715
508	15190	8684
