PageValues,ProductRelated,ProductRelated_Duration,ExitRates,Month,TrafficType,Revenue
0.0,5,60.4,0.025,Oct,2,0
0.0,14,363.3,0.045986395,May,2,0
0.0,18,224.5,0.0625,May,4,0
0.0,54,2871.104167,0.021468927,Nov,2,0
0.0,31,493.58,0.006451613,Sep,2,0
9.641076923,12,764.75,0.023076923,May,2,1
43.81043478,21,612.75,0.008695652,May,1,1
0.0,2,9.0,0.025,Sep,2,0
0.0,2,34.0,0.05,Feb,3,0
47.7917708,1,15.6,0.0,Sep,3,1
0.0,27,321.6666667,0.07224026,May,1,0
17.94797101,21,884.3333333,0.016231884,May,2,0
8.04958574,3,178.5,0.066666667,Sep,1,0
0.0,1,0.0,0.2,May,13,0
0.0,15,947.0,0.006666667,Dec,2,0
0.0,5,52.66666667,0.05,Nov,13,0
0.0,1,0.0,0.2,Nov,6,0
0.0,75,1585.60873,0.021603376,Dec,1,0
0.0,7,58.5,0.057142857,Nov,2,0
0.0,18,403.4166667,0.005,Dec,2,0
0.0,40,3998.333333,0.041869919,Nov,1,0
0.0,12,442.5,0.008333333,Nov,2,0
0.0,4,43.75,0.016666667,Nov,2,0
18.09857173,21,589.4214286,0.014814815,Aug,2,1
0.0,28,1344.458333,0.032380952,Nov,2,0
0.0,21,979.0166667,0.021,May,4,0
0.0,11,577.75,0.033333333,Nov,3,0
0.0,7,94.33333333,0.028571429,May,3,0
15.45198077,8,244.0,0.04,Sep,1,1
0.0,52,3593.12932,0.018264209,May,2,0
0.0,6,131.0,0.028571429,May,3,0
36.89921429,25,1189.458333,0.006150794,May,4,1
0.0,2,139.0,0.1,May,4,0
0.0,81,2071.0,0.025308642,May,2,0
0.0,3,30.0,0.033333333,Dec,1,0
0.0,4,64.25,0.033333333,Dec,8,0
0.0,20,724.1333333,0.083333333,May,4,0
0.0,1,0.0,0.2,Mar,1,0
0.0,326,11945.62954,0.017527555,Nov,2,1
0.0,8,316.0,0.019047619,Mar,2,0
0.0,21,1647.5,0.013043478,May,4,0
0.0,7,286.0,0.05,Mar,1,0
5.417644444,28,1206.614719,0.023222222,Mar,2,1
0.0,39,2558.5,0.010810811,Nov,10,0
0.0,3,88.5,0.033333333,Nov,3,0
0.0,3,103.6,0.033333333,Jul,6,0
18.21579469,138,4042.949908,0.01446207,Dec,6,1
0.0,1,0.0,0.2,Mar,1,0
0.0,61,2635.61627,0.003389831,May,3,0
0.0,9,108.0,0.042222222,May,4,0
0.0,29,1131.315476,0.046071429,May,6,0
7.636645161,32,1562.333333,0.062580645,May,2,0
0.0,23,502.525,0.021428571,Nov,3,0
3.586636448,22,1805.083333,0.008695652,Sep,2,1
0.0,2,14.35,0.05,Aug,5,0
0.0,1,612.0,0.1,May,3,0
54.121714,30,1288.733333,0.013376623,Nov,2,0
0.0,29,438.8666667,0.020689655,Mar,1,0
0.0,4,49.5,0.016666667,Mar,2,0
1.963592426,137,5380.686996,0.021311846,Nov,10,1
0.0,15,343.25,0.029411765,Dec,2,0
8.920900783,233,7952.491839,0.019045831,Nov,2,1
14.1374752,8,480.0,0.028571429,Nov,3,1
0.0,31,1998.25,0.037373737,Nov,2,0
0.0,11,109.5,0.022222222,Dec,8,0
0.0,11,555.625,0.054545455,Nov,3,0
49.47040982,40,1834.166667,0.006734694,Mar,2,1
0.0,3,36.0,0.1,Nov,2,0
0.0,1,0.0,0.2,Jun,4,0
3.870588042,109,3297.491311,0.010281148,Oct,1,0
0.0,20,2981.166667,0.01,Feb,4,0
2.580028334,49,1929.185664,0.025063352,Dec,13,0
0.0,128,2787.692619,0.014175592,Jul,1,0
22.45841786,118,3215.173074,0.005446194,Nov,3,1
0.0,6,177.5,0.044444444,Mar,1,0
0.0,32,2759.633333,0.038541667,May,2,0
0.0,17,649.02,0.017647059,Jun,3,0
0.0,30,1671.583333,0.019354839,Nov,2,0
5.909295033,47,1708.625,0.01884058,Dec,2,0
0.0,9,128.5,0.081818182,Jul,3,0
0.0,2,8.0,0.033333333,Sep,2,1
0.0,8,192.1666667,0.025,Mar,9,0
0.0,2,48.4,0.05,Oct,3,0
0.0,97,1940.293452,0.032369194,Nov,10,0
0.0,32,641.6944444,0.04411104,Nov,13,0
0.0,21,1492.166667,0.055555556,May,2,0
6.028854102,52,1300.041667,0.023193277,Nov,2,1
0.0,14,424.3333333,0.007142857,Dec,13,0
0.0,18,286.0,0.061111111,May,3,0
0.0,32,796.7066667,0.041441441,Nov,1,0
0.0,54,1210.921324,0.008671329,Dec,1,0
0.0,15,431.2,0.007142857,Sep,5,0
0.0,87,1836.983333,0.026449275,Sep,3,0
0.0,9,771.5,0.044444444,Mar,1,0
0.0,16,1509.5,0.018933333,Nov,2,0
0.0,5,74.4,0.022222222,Oct,5,0
0.0,14,598.4333333,0.035714286,Jul,3,0
0.0,2,194.4,0.05,Aug,6,0
0.0,1,0.0,0.2,Dec,20,0
2.705833333,24,676.1666667,0.008333333,May,4,1
33.41,13,474.6666667,0.014285714,Mar,6,1
0.0,45,2487.333333,0.066666667,May,11,0
0.0,27,1792.466667,0.01469428,Dec,2,0
0.0,1,0.0,0.2,Aug,1,0
0.0,3,131.0,0.033333333,Nov,6,0
0.0,11,326.5,0.077272727,Nov,3,0
2.385969641,107,1688.2494,0.016407828,Jun,2,0
0.0,13,436.0,0.079487179,May,2,0
0.0,41,1355.483333,0.007142857,Dec,2,0
91.246,21,952.5333333,0.01,May,3,1
0.0,20,646.1666667,0.025333333,Dec,3,0
0.0,13,215.952381,0.018181818,Nov,2,0
0.0,49,711.3630952,0.002040816,Dec,2,0
0.720181023,80,1566.333333,0.027916667,Sep,1,1
8.482727273,31,2013.595238,0.014141414,Mar,2,1
0.0,10,466.75,0.028571429,May,4,0
0.0,26,730.5333333,0.014102564,May,11,0
0.0,6,467.0,0.016666667,Feb,3,0
0.0,46,1942.933333,0.013333333,May,4,0
3.348407692,135,3700.495815,0.014626073,May,4,0
0.0,47,716.625,0.009574468,May,5,0
10.1319644,85,2409.875,0.017267562,Dec,2,0
0.0,4,41.4,0.125,Jul,1,0
0.0,31,1350.5,0.016129032,Mar,2,0
0.0,9,740.1666667,0.014285714,Nov,1,0
0.0,8,371.6666667,0.011111111,Mar,2,0
